pub_date,title,venue,citation,url_slug,paper_url,category,research_area
2025-03-01,Microbiome-Scale Identification of Surface Water Pollution,Idaho Department of Environmental Quality's Water  Quality Workshop,"CS Swanson, CF Cianciolo, Q He. Microbiome-Scale Identification of Surface Water Pollution (2025) Idaho Water Quality Workshop. Idaho Department of Environmental Quality.",Surface_Water_NPS_ST,,conference,Data Science/Microbiology/Surface Water
2024-04-11,Response of Anaerobic Digestion to Temperature Fluctuation in Wastewater Treatment,Tennessee Chapter - American Water Resource Association,"X Zhao, CS Swanson, and Q He (2024). Response of Anaerobic Digestion to Temperature Fluctuation in Wastewater Treatment. In 33rd Tennessee Water Resources Symposium. TNWRA",AD_Temp_Fluct,,conference,Wastewater
2024-04-11,Investigation of Microbiological Water Quality During Rooftop Rainwater Harvest,Tennessee Chapter - American Water Resource Association,"CS Swanson, T Anya, and Q He (2024). Investigation of Microbiological Water Quality During Rooftop Rainwater Harvest. In 33rd Tennessee Water Resources Symposium. TNWRA",Green_Roof_Water_Quality,,conference,Storm Water/Microbiology/Data Science
2023-04-13,Microbiome-Scale Identification of Potential Microbial biomarkers in Streams Impacted by Urbanization,Tennessee Chapter - American Water Resource Association,"CS Swanson, CF Cianciolo, and Q He (2023). Microbiome-Scale Identification of Potential Microbial biomarkers in Streams Impacted by Urbanization. In 32nd Tennessee Water Resources Symposium. TNWRA",Urbanized_Streams,,conference,Data Science/Microbiology/Surface Water
2022-04-20,Microbiological Linkages between Drinking Water and Source Water,Tennessee Chapter - American Water Resource Association,CS Swanson & Q He (2022). Microbiological Linkages between Drinking Water and Source Water. In 31st Tennessee Water Resources Symposium. TNWRA,Source_Water_and_Drinking_water,,conference,Drinking Water/Surface Water/Data Science
2021-06-18, Impact of Point-of-Use Filtration on Drinking Water Microbiome,American Society of Microbiology,"CS Swanson, Q He. Impact of Point-of-Use Filtration on Drinking Water Microbiome (2021) World Microbe Forum. American Society of Microbiology",POU_Drinking_Water_Microbiome,,conference,Drinking Water/Public Health
2021-06-18, Sources of Bacterial Contamination of Nebulizer Devices,American Society of Microbiology,"CS Swanson, R Dhand, L Cao, J Ferris, S Elder, Q He. Sources of Bacterial Contamination of Nebulizer Devices (2021, June). World Microbe Forum. American Society of Microbiology.",Neb_Contamination_ST,,conference,Public Health/Data Science
2021-06-18,Linking Human Impact to Building Microbiomes: A Longitudinal Case Study ,American Society of Microbiology,"CS Swanson, Q He. Linking Human Impact to Building Microbiomes: A Longitudinal Case Study (2021, June). World Microbe Forum. American Society of Microbiology.",Human_Impact_on_Built_Environment,,conference,Public Health/Data Science
2020-05-06,The Microbiome in Nebulizers Used with Mouthpieces or Facemasks by Hospitalized Non-Cystic Fibrosis Patients,American Thoracic Society,"S Baveja, Q He, K Wyckoff, CS Swanson, J Ferris, S Elder, D Church, LA Holbert, R Dhand. (2020, May). The Microbiome in Nebulizers Used with Mouthpieces or Facemasks by Hospitalized Non-Cystic Fibrosis Patients. B28. Host and Microbial Clinical Studies in Lung Infections and Lung Diseases (pp. A2938-A2938). American Thoracic Society.",Microbiome_of_Nebulizers,,conference,Public Health/Data Science
2020-04-10,Identification of Factors Influencing the Drinking Water Microbiome on the Premise Plumbing,Tennessee Chapter - American Water Resource Association,CS Swanson & Q He (2020). Identification of Factors Influencing the Drinking Water Microbiome on the Premise Plumbing. In 29th Tennessee Water Resources Symposium. TNWRA,Factors_influencing_microbiome_premise_Plumbing,,conference,Drinking Water/Public Health/Data Science
2019-05-23,Metagenomic Characterization of Microbial Contamination in Nebulizers,International Society of Aerosol Medicine,"CS Swanson, Q He, KN Wyckoff, J Ferris, S Elder, D Church, ... & R Dhand (2019, June). Metagenomic Characterization of Microbial Contamination in Nebulizers. in Journal of Aerosol Medicine and Pulmonary Drug Delivery (Vol. 32, No. 3, pp. A29-A29). International Society of Aerosol Medicine.",Nebulizer_Characterization,,conference,Public Health/Data Science
2019-04-03,Serial Changes in the Microbiome on Reusable Nebulizers in Hospitalized Patients,American Thoracic Society,"T McLaurine, Q He, KN Wyckoff, CS Swanson, J Ferris, S Elder, ... & R Dhand (2019). Serial Changes in the Microbiome on Reusable Nebulizers in Hospitalized Patients. In B58. Clinical Studies in Lung Infections and Pneumonia: Treatment and Outcomes (pp. A3705-A3705). American Thoracic Society.",Serial_Changes_in_Neb_Micro,,conference,Public Health/Data Science
2019-05-06,Characterization of the Microbiome on Various Nebulizer Parts After Short-Term Use by Hospitalized Patients,American Thoracic Society,"T McLaurine, Q He, KN Wyckoff, CS Swanson, J Ferris, S Elder, ... & R Dhand (2019). Characterization of the Microbiome on Various Nebulizer Parts After Short-Term Use by Hospitalized Patients. In B58. Clinical Studies in Lung Infections and Pneumonia: Treatment and Outcomes (pp. A3704-A3704). American Thoracic Society",Characterization_Neb_Microbiome,,conference,Public Health/Data Science
2019-04-18,Drinking Water Quality in Premise Plumbing: Impact of Stagnation,Tennessee Chapter - American Water Resource Association,"CS Swanson & Q He (2019, April). Drinking Water Quality in Premise Plumbing: Impact of Stagnation. In 28th Tennessee Water Resources Symposium. TNWRA",Premise_Plumbing_Stag,,conference,Drinking Water/Public Health
2018-07-05,Non-Platinum Group Catalysts to Improve Performance of a Membraneless Microbial Fuel Cell,Electrochemical Society,"CS Swanson, YA Gandomi, GA Goenaga, S Medina, TA Zawodzinski, D Aaron, & MM Mench (2018, April). Non-Platinum Group Catalysts to Improve Performance of a Membraneless Microbial Fuel Cell. In Meeting Abstracts (No. 38, pp. 2257-2257). The Electrochemical Society",NPG_MFC,,conference,Wastewater
2026-05-08,Holistic Assessment of Point-of-Use Carbon Filters on Drinking Water Safety,PNWS - AWWA,CS Swanson (2026). Holistic Assessment of Point-of-Use Carbon Filters on Drinking Water Safety. PNWS-AWWA. Water 2026,POU_Holistic_Assessment,,conference,Drinking Water/Public Health
2026-05-08,Water System Factors that Impact Exposure to Opportunistic Pathogens,PNWS - AWWA,K Schulz and CS Swanson (2026). Water System Factors that Impact Exposure to Opportunistic Pathogens. PNWS-AWWA. Water 2026,Moscow_Lewiston_Schulz,,conference,Drinking Water/Public Health
2025-10-07,Holistic Assessment of Water Safety,Idaho Water Resource Research Institute,CS Swanson (2025). Holistic Assessment of Water Safety. IWWRI,Water_Safety_Seminar,,seminar,Drinking Water/Public Health/Data Science
